,DATE,SOIL_CO2_FLUX,ECO_CO2_FLUX,CH4_FLUX,O2_FLUX,CO2_1,CO2_2,CO2_3,CO2_4,CO2_5,CO2_6,CO2_7,CO2_8,CO2_9,CO2_10,CO2_11,CO2_12,CO2_13,CO2_14,CO2_LIT,CH4_1,CH4_2,CH4_3,CH4_4,CH4_5,CH4_6,CH4_7,CH4_8,CH4_9,CH4_10,CH4_11,CH4_12,CH4_13,CH4_14,CH4_15,O2_1,O2_2,O2_3,O2_4,O2_5,O2_6,O2_7,O2_8,O2_9,O2_10,O2_11,O2_12,O2_13,O2_14,O2_15,O2_LIT
0,2001-01-01,-4.790014291666666,-4.790014291666666,-0.003390828658333334,6.6663568333333325,1.2408098083333334,3.53666,5.059861000000001,5.8224375833333335,6.097759291666667,6.291753333333333,6.240479874999999,6.032697833333334,2.92676765,1.0709483583333335,0.4499131791666667,0.3112272166666667,0.25092858749999997,0.245314475,373.58795833333335,7.875152125e-05,0.00066079172775,0.000519058709625,0.00020325383133333334,7.624474245833332e-05,4.5049729083333333e-05,4.08916425e-05,2.5963639916666665e-05,6.9403625416666675e-06,1.3713862083333331e-06,1.3341110416666668e-06,2.1049255458333332e-06,8.706678166666666e-06,1.9148962625e-05,0.0,11.072515291666667,12.431341075,11.591283375000001,11.1887185,11.058611541666666,11.170138125000001,11.174186958333335,10.445638708333332,10.776675416666668,11.358351666666666,11.683984583333334,11.753515416666666,11.628100000000002,11.084157500000002,0.0,18.18243
1,2001-01-02,-1.55828475,-1.55828475,0.0006054452708333333,0.8590188475000001,0.5271565416666667,1.1747879583333334,1.8762205833333334,2.3451545416666666,2.553602375,2.8024332916666665,3.135346333333333,6.271730708333333,4.385798875,1.8241658333333335,0.7615023375000001,0.4042064125,0.2717967625,0.24870598749999998,371.55019166666665,1.2593444291666667e-05,8.564416208333333e-06,2.8227112916666667e-06,1.7944957916666666e-06,1.5034192916666665e-06,1.3725625416666666e-06,1.4400318333333332e-06,4.854775375e-07,5.564541708333333e-07,4.0647646666666667e-07,2.0525800416666666e-07,1.3766762791666666e-07,6.192759e-07,2.2093938374999997e-06,0.0,9.053394375,15.01661625,14.35115375,13.745017500000001,13.342677083333333,12.910472916666668,12.473249583333335,11.348675833333333,10.935004583333333,11.1428375,11.381242499999999,11.48423625,11.457785833333332,11.350729166666667,0.0,18.112095
2,2001-01-03,-1.8003285,-1.8003285,0.0006074729333333333,1.5384174291666666,0.5248398625,1.1185598333333333,1.7578777916666668,2.1938769166666665,2.393190375,2.657713333333333,2.9765164583333337,6.107148625,5.042134791666666,2.380914,1.0607003166666666,0.5089551,0.30118328333333333,0.25387693333333333,371.85601249999996,9.761542916666666e-06,8.998924583333334e-06,3.281760375e-06,2.2327247083333334e-06,1.7765983333333334e-06,1.7508025416666666e-06,1.7880233333333332e-06,2.8725059166666666e-07,1.2185393583333333e-07,9.515557041666666e-08,7.483069e-08,6.052888458333334e-08,9.050273916666667e-08,2.7093398458333333e-07,0.0,14.111551041666667,14.738194583333334,14.305533333333335,13.884334583333333,13.584575000000001,13.258111249999999,12.855890833333333,11.760039999999998,11.087919166666666,11.090963333333335,11.24777125,11.350498333333334,11.401635416666666,11.397651666666667,0.0,16.4611325
3,2001-01-04,-2.702025416666667,-2.702025416666667,0.0005742124666666667,2.5494013970833334,0.7186838166666667,1.187938,1.7946134166666667,2.241414333333333,2.453910666666667,2.751384875,3.086641541666667,6.2047156249999995,5.5217325,2.874752125,1.3657397083333331,0.6377168249999999,0.34040798333333333,0.26091006666666666,373.17670833333335,5.603515e-06,7.173501791666667e-06,2.8346602499999997e-06,2.1558895833333333e-06,1.8064356666666666e-06,1.917962375e-06,2.034971791666667e-06,3.008618291666667e-07,8.010403333333334e-08,4.65744975e-08,3.784207541666667e-08,3.4911175e-08,3.288645708333333e-08,4.8881521250000004e-08,0.0,14.05953625,13.84525375,13.693442083333332,13.513000833333335,13.35804125,13.21828,12.933683333333335,11.999452083333333,11.234939166666665,11.087417083333333,11.18784625,11.281316666666667,11.356697916666667,11.392090416666667,0.0,14.6391
4,2001-01-05,-3.5455681249999995,-3.5455681249999995,0.0005317078833333333,3.546483997916667,0.8216999291666666,1.1696387083333333,1.7918969166666667,2.2613445,2.497702625,2.834716125,3.2043154583333333,6.358916458333333,5.911817666666667,3.3074196666666666,1.6640549166666665,0.7848750041666667,0.39046369583333335,0.26990996666666667,373.83464583333335,0.0,6.88355925e-06,2.3396405416666666e-06,1.8607922499999999e-06,1.6068918333333332e-06,1.7339582083333334e-06,1.9956289999999997e-06,3.15507925e-07,6.986626375e-08,3.2980644166666665e-08,2.512082208333333e-08,2.4288182916666666e-08,2.247123333333333e-08,2.354542166666667e-08,0.0,13.322557916666668,13.336957083333333,13.217392083333332,13.114899166666667,13.031197083333334,13.000036666666666,12.829260416666665,12.08276375,11.355479166666667,11.113190000000001,11.1616975,11.236400416666667,11.31583875,11.368196249999999,0.0,13.895491583333333
5,2001-01-06,-4.550940083333333,-4.550940083333333,0.0005005665470833333,4.58639155,0.7778430208333332,1.1404872916666666,1.7612200416666666,2.23490875,2.4785582083333333,2.834919166666667,3.2288756666666667,6.499286208333333,6.248896666666667,3.691009875,1.94923275,0.9442328999999999,0.4513743333333333,0.28094321666666666,374.9885875,0.0,7.335136666666666e-06,2.3657210833333333e-06,1.8677446250000001e-06,1.58839875e-06,1.60585975e-06,1.919091375e-06,3.1914037083333336e-07,6.599476583333334e-08,2.7039109166666666e-08,1.923380791666667e-08,1.863389125e-08,1.790341125e-08,1.8500104166666666e-08,0.0,12.976954791666666,13.067888333333334,12.956974166666667,12.880876666666666,12.822589583333333,12.830405416666666,12.71479125,12.076680416666667,11.431710833333334,11.150305000000001,11.155076666666666,11.205304166666666,11.278901249999999,11.3376375,0.0,13.509900791666666
6,2001-01-07,-3.7067242083333336,-3.7067242083333336,0.0005851582125,3.886121054166667,0.7157780541666666,1.107985,1.7233912916666665,2.1936660833333335,2.4381509583333334,2.797215083333333,3.207036791666667,6.6074961666666665,6.5454540833333335,4.037000583333334,2.2202390833333334,1.110980125,0.5222738458333334,0.2940371375,373.7084,0.0,7.498176916666666e-06,2.44967125e-06,1.9135747500000003e-06,1.6137841249999998e-06,1.5758575833333333e-06,1.8878477083333333e-06,3.18921625e-07,6.42120925e-08,2.3737200416666667e-08,1.5860211666666667e-08,1.4977972083333333e-08,1.4694719583333333e-08,1.5594686666666666e-08,0.0,13.31497875,13.326952916666668,13.110592500000001,12.95908875,12.866049166666668,12.82914125,12.704584166666665,12.064837083333332,11.473646666666667,11.185688749999999,11.15835125,11.1835575,11.2461475,11.304998750000001,0.0,14.111567083333334
7,2001-01-08,-2.9826155416666666,-2.9826155416666666,0.0006351537416666666,3.1335993541666665,0.6926383916666666,1.0542424875,1.6495400416666666,2.1027935833333333,2.3382409166666664,2.693630875,3.1065464583333333,6.654236833333333,6.800657958333333,4.352443249999999,2.4782870833333335,1.2819184166666666,0.6020081833333334,0.30912381666666666,373.1135458333333,0.0,8.146178875e-06,2.5807630833333332e-06,1.9758785833333332e-06,1.6636894583333332e-06,1.7526383333333335e-06,2.013402e-06,3.221787166666667e-07,6.238762666666667e-08,2.142383125e-08,1.3493689583333333e-08,1.2381132916666666e-08,1.2194779166666666e-08,1.3191540416666666e-08,0.0,13.66300625,13.711926666666665,13.444067500000001,13.23545,13.098014999999998,12.993283333333332,12.818035,12.106520000000002,11.509290833333333,11.21828625,11.166859583333334,11.169287083333332,11.218134583333333,11.275963333333335,0.0,14.595327500000002
8,2001-01-09,-3.2514804583333334,-3.2514804583333334,0.0006493542916666666,3.34796045,0.6721501499999999,1.0135054749999999,1.5828632916666667,2.0219415416666666,2.2514651249999997,2.6071462083333334,3.0217240833333334,6.6550378750000005,7.010054749999999,4.639149166666667,2.724214208333333,1.4547797916666667,0.6895585249999999,0.32599696666666667,373.39909166666666,0.0,8.570557625e-06,2.792670958333333e-06,2.111073083333333e-06,1.7877958750000002e-06,1.9594091249999998e-06,2.197150791666667e-06,3.3534780833333334e-07,6.099086625e-08,1.9629645e-08,1.17387075e-08,1.0370456625e-08,1.0180376083333333e-08,1.1146542083333333e-08,0.0,13.676259583333334,13.79810125,13.559405833333335,13.369405833333333,13.237595833333332,13.127105,12.936317083333334,12.193115833333332,11.55641625,11.250267916666667,11.17862625,11.1610125,11.194832499999999,11.249523333333334,0.0,14.588351666666668
9,2001-01-10,-3.8441222916666664,-3.8441222916666664,0.0006296137958333334,3.729439847083333,1.1970062,1.0651838208333333,1.6037321249999998,2.0276277916666667,2.25104525,2.6008529583333333,3.0119545833333334,6.648063208333333,7.179359125,4.8973531249999995,2.9577870416666667,1.6278463333333333,0.7838214291666666,0.34443270833333334,376.7395333333333,0.0,7.719315583333334e-06,2.7513727083333334e-06,2.1317111666666665e-06,1.8194923333333332e-06,2.0350929166666665e-06,2.284616583333333e-06,3.4540243749999996e-07,5.97048825e-08,1.798506125e-08,1.0354372750000002e-08,8.836314541666667e-09,8.555489083333333e-09,9.429160583333334e-09,0.0,13.329511291666668,13.685329166666667,13.51388875,13.353083750000001,13.238199999999999,13.149153750000002,12.975585,12.264064166666666,11.611383333333334,11.283925416666667,11.193125416666668,11.157687916666667,11.176520416666667,11.2235,0.0,14.14674375
