,DATE,N2O_FLUX,N2G_FLUX,NH3_FLUX,SURF_N_FLUX,SUBS_N_FLUX,N2O_1,N2O_2,N2O_3,N2O_4,N2O_5,N2O_6,N2O_7,N2O_8
0,1998-01-01,-6.768336945833333e-05,-0.009076798333333334,-1.0378208830416667e-07,0.0,0.05450215054166666,0.0126206302125,0.06660537916666666,0.05393707659166667,0.06090302045416667,0.04507888984583333,0.03637357692083334,0.0025368825333333335,0.0004499639708333333
1,1998-01-02,-3.2925465833333334e-05,-0.0016570944708333335,-1.1329066458333336e-08,0.0,0.15090634583333332,0.0068803811250000005,0.1007970775,0.012850653750000001,0.012018339833333334,0.011048074333333333,0.01191395775,0.004778046291666667,0.0007329592749999999
2,1998-01-03,-6.181810125e-05,-0.0002725507754166667,5.200243333333333e-08,0.0,0.23755284166666668,0.006463318166666667,0.028274355208333334,0.007008912708333333,0.0070720786249999995,0.005982189708333333,0.00588886375,0.005129536916666667,0.00109260395
3,1998-01-04,-6.490731833333333e-05,-3.165327541666667e-05,6.484951666666666e-08,0.0,0.3190325875,0.0040196202500000005,0.0033964571250000002,0.0033547277916666667,0.003688423625,0.003186370416666667,0.003226093083333333,0.003105415958333333,0.0016942162083333333
4,1998-01-05,-6.487631875e-05,-1.603073541666667e-05,6.945714041666667e-08,0.0,0.3946573166666667,0.0015594695,0.0018926567083333333,0.00185732125,0.0020266480833333335,0.0017841187083333333,0.0018238248750000001,0.0018407329166666667,0.0018038214583333335
5,1998-01-06,-7.164113583333334e-05,-1.15168775e-05,8.097574750000001e-08,0.0,0.46313992499999995,0.0011650135833333334,0.001331325875,0.00132899625,0.0014372885416666667,0.001310310375,0.0013365973333333333,0.001358019625,0.0015870592916666666
6,1998-01-07,-7.422249916666667e-05,-8.738085625e-06,9.047212416666667e-08,0.0,0.5219110541666666,0.0009374014041666666,0.0009473795416666666,0.0010105460458333334,0.0011113802916666667,0.0010549868083333334,0.0010804304583333334,0.0011018482083333333,0.0013111936666666667
7,1998-01-08,-7.697239583333334e-05,-8.132434083333332e-06,1.0251642624999999e-07,0.0,0.5709664625,0.0007980939208333333,0.0007808236333333333,0.000851327025,0.0009415893541666666,0.0009114737375000001,0.0009317424125,0.0009415551291666667,0.0010941252500000001
8,1998-01-09,-7.719250875e-05,-9.733220375e-06,9.909230708333334e-08,0.0,0.6110224875,0.0008161666083333334,0.0007494970875,0.0008044203083333334,0.0008750676875,0.0008530991708333334,0.0008660184583333333,0.000868222375,0.0009670479916666667
9,1998-01-10,-7.210002833333332e-05,-1.1472955833333333e-05,9.972552125e-08,0.0,0.6463526583333333,0.0008459437,0.0007361842083333333,0.00077171935,0.0008270605624999999,0.0008116820083333334,0.0008228837666666667,0.0008272746499999999,0.0008990162583333333
